secid,days_present,total_days,presence_percentage,is_continuous
RU000A0JUAP1,339,340,99.70588235294117,False
RU000A0JTB96,339,340,99.70588235294117,False
RU000A0JSGV0,339,340,99.70588235294117,False
RU000A0JVB27,339,340,99.70588235294117,False
RU000A0JUT85,339,340,99.70588235294117,False
RU000A0JS4L7,339,340,99.70588235294117,False
RU000A1071S3,336,340,98.82352941176471,False
RU000A105104,336,340,98.82352941176471,False
RU000A0NRCJ8,336,340,98.82352941176471,False
RU000A105ML5,336,340,98.82352941176471,False
RU000A105N25,336,340,98.82352941176471,False
RU000A105PQ7,336,340,98.82352941176471,False
RU000A105NL3,336,340,98.82352941176471,False
RU000A105C44,336,340,98.82352941176471,False
RU000A1076U8,336,340,98.82352941176471,False
RU000A1057D4,336,340,98.82352941176471,False
RU000A106797,336,340,98.82352941176471,False
RU000A1054W1,336,340,98.82352941176471,False
RU000A105EW9,336,340,98.82352941176471,False
RU000A1057S2,336,340,98.82352941176471,False
RU000A105Q06,336,340,98.82352941176471,False
RU000A105M75,336,340,98.82352941176471,False
RU000A105EV1,336,340,98.82352941176471,False
RU000A105112,336,340,98.82352941176471,False
RU000A1063Z5,336,340,98.82352941176471,False
RU000A105ZC6,336,340,98.82352941176471,False
RU000A1060Q0,336,340,98.82352941176471,False
RU000A0JUG72,335,340,98.52941176470588,False
RU000A0JVD25,334,340,98.23529411764706,False
RU000A0JT7T2,331,340,97.35294117647058,False
RU000A107K18,330,340,97.05882352941177,False
RU000A1061L9,321,340,94.41176470588235,False
RU000A0JVBX1,321,340,94.41176470588235,False
RU000A0JVDD9,315,340,92.64705882352942,False
RU000A0JVEQ9,314,340,92.3529411764706,False
RU000A107RH8,311,340,91.47058823529412,False
RU000A0JVA77,307,340,90.29411764705883,False
RU000A0JVA10,306,340,90.0,False
RU000A0JV9Q0,300,340,88.23529411764706,False
RU000A107U81,300,340,88.23529411764706,False
RU000A0JVF98,297,340,87.3529411764706,False
RU000A0JV9H9,296,340,87.05882352941177,False
RU000A0JV9D8,294,340,86.47058823529412,False
RU000A0JV987,291,340,85.58823529411764,False
XS1634369224,287,340,84.41176470588235,False
XS0559915961,287,340,84.41176470588235,False
XS1760804184,287,340,84.41176470588235,False
USG76237AC37,287,340,84.41176470588235,False
XS2120882183,287,340,84.41176470588235,False
XS0114288789,286,340,84.11764705882354,False
XS0767473852,286,340,84.11764705882354,False
XS0971721963,286,340,84.11764705882354,False
XS0088543193,286,340,84.11764705882354,False
RU000A105BY1,285,340,83.82352941176471,False
RU000A105A95,285,340,83.82352941176471,False
RU000A1080Z9,285,340,83.82352941176471,False
RU000A103TC4,284,340,83.52941176470588,False
RU000A1057B8,284,340,83.52941176470588,False
RU000A105146,284,340,83.52941176470588,False
RU000A0JV8G3,284,340,83.52941176470588,False
RU000A1056U0,284,340,83.52941176470588,False
RU000A1040E8,284,340,83.52941176470588,False
RU000A103TA8,284,340,83.52941176470588,False
RU000A103TB6,284,340,83.52941176470588,False
RU000A103T96,284,340,83.52941176470588,False
XS1843437036,283,340,83.23529411764706,False
RU000A0JV8D0,282,340,82.94117647058825,False
RU000A103T70,281,340,82.6470588235294,False
RU000A103T62,281,340,82.6470588235294,False
RU000A103T54,281,340,82.6470588235294,False
RU000A103K38,281,340,82.6470588235294,False
RU000A103T88,281,340,82.6470588235294,False
RU000A1083N9,280,340,82.35294117647058,False
RU000A103JK8,280,340,82.35294117647058,False
RU000A103FY7,280,340,82.35294117647058,False
