secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group,date
RU000A105112,TQOY,РУСАЛ БО06,2025-03-26,100.3,99.68,99.68,100.3,100.1349,68,68180.4,7.69,8.2,2027-07-28,4.17,2025-08-04,13.04,8.5,42.38,1000.0,CNY,245,2025-03-26
RU000A1054W1,TQOY,Полюс Б1P2,2025-03-26,93.0499,93.0498,92.7001,93.4972,92.8358,857,796135.15,7.1,7.21,2027-08-24,28.17,,3.02,3.8,18.95,1000.0,CNY,245,2025-03-26
RU000A1057D4,TQOY,МЕТАЛИН1P2,2025-03-26,91.9,92.5,91.71,92.5,92.0596,908,835971.41,7.53,7.45,2027-09-10,28.63,,1.22,3.7,9.22,1000.0,CNY,245,2025-03-26
RU000A1057S2,TQOY,Роснфт2P12,2025-03-26,101.9498,101.6708,101.5,101.9499,101.4565,109,110766.47,4.84,5.92,2032-09-07,5.77,,1.97,9.0,44.88,1000.0,CNY,245,2025-03-26
RU000A105C44,TQOY,РУСАЛ 1Р1,2025-03-26,99.8163,99.8899,99.4022,99.8899,99.3715,69,68797.79,6.24,12.5,2025-04-24,0.93,,15.72,3.75,18.7,1000.0,CNY,245,2025-03-26
RU000A105EW9,TQOY,Сегежа3P1R,2025-03-26,93.099,92.9264,92.5002,93.1998,92.8793,343,318638.0,17.19,17.65,2037-10-22,7.37,2025-11-06,5.46,4.15,10.35,1000.0,CNY,245,2025-03-26
RU000A105M75,TQOY,МЕТАЛИН1P3,2025-03-26,97.7,97.6001,97.6,97.79,97.6462,14,13682.06,6.72,6.81,2025-12-11,8.53,,9.26,3.25,16.21,1000.0,CNY,245,2025-03-26
RU000A105N25,TQOY,БДеньг-Ю01,2025-03-26,99.3999,99.4668,98.9289,99.9997,99.3798,398,39583.43,8.91,8.93,2026-06-03,13.77,,0.35,8.0,0.66,100.0,CNY,245,2025-03-26
RU000A1060Q0,TQOY,СКФ 1Р1CNY,2025-03-26,98.0,98.1501,97.205,98.3999,97.5765,427,417553.19,7.2,7.67,2026-03-24,11.93,,0.14,4.95,24.68,1000.0,CNY,245,2025-03-26
RU000A1061L9,TQOY,ЮГК 1P2,2025-03-26,100.015,99.9998,99.851,100.04,100.006,70,70002.15,4.36,5.03,2025-04-01,0.17,,26.52,5.5,27.42,1000.0,CNY,245,2025-03-26
RU000A1071S3,TQOY,МЕТАЛИН1P5,2025-03-26,98.4,98.4678,98.0504,98.48,98.0623,207,203558.56,7.49,7.85,2026-04-14,12.27,,25.52,5.75,28.67,1000.0,CNY,245,2025-03-26
RU000A1076U8,TQOY,РУСАЛ 1Р5,2025-03-26,97.4,97.4112,97.3826,97.8639,97.4048,985,959437.21,9.41,9.4,2026-05-08,12.97,,25.33,6.7,33.41,1000.0,CNY,245,2025-03-26
RU000A107RH8,TQOY,РУСАЛ 1Р6,2025-03-26,97.37,97.4,97.3,97.57,97.1292,3703,3606955.75,9.61,9.81,2026-08-05,15.73,,9.67,7.2,17.95,1000.0,CNY,245,2025-03-26
KG000A3LSJ06,TQCB,Кыргыз. 02,2025-03-27,96.09,96.18,95.75,96.2,96.05,2615,251175.74,21.44,21.51,2025-12-26,8.77,,0.0403,14.5,3.63,100.0,RUB,58,2025-03-27
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2025-03-27,102.41,105.5,102.41,105.5,105.33,18,18959.1,18.64,17.03,2032-02-17,24.6,,15.74,19.15,95.49,1000.0,RUB,58,2025-03-27
