date,KG000A3LSJ06,RU000A0JS4Z7,RU000A0JSGV0,RU000A0JTU85,RU000A0JUAH8,RU000A0JVA10,RU000A105104,RU000A105112,RU000A1054W1,RU000A1057D4,RU000A1057S2,RU000A105C44,RU000A105EW9,RU000A105M75,RU000A105N25,RU000A1060Q0,RU000A1061L9,RU000A1071S3,RU000A1076U8,RU000A107RH8
2024-05-12,15.78,,14.26,15.18,14.81,15.76,9.81,9.48,6.01,5.89,6.32,7.08,16.52,5.95,8.34,6.02,5.93,5.87,6.81,7.46
2024-05-13,16.08,16.22,14.64,14.77,15.35,16.16,9.79,9.56,5.99,6.02,6.1,6.84,16.54,5.89,8.34,6.19,6.48,5.89,6.87,7.56
2024-05-14,16.26,,14.83,16.1,16.3,16.35,9.81,9.97,5.93,5.91,6.01,7.22,16.71,6.57,8.33,6.21,6.47,6.0,6.86,7.56
2024-05-15,15.9,16.37,14.69,15.46,15.42,16.13,10.31,10.05,5.93,6.03,6.71,6.52,16.88,5.9,8.34,6.18,6.0,5.86,6.93,7.6
2024-05-16,15.98,16.25,14.6,15.21,16.21,16.02,10.13,9.87,5.97,5.93,6.17,6.42,16.88,,8.3,6.17,6.01,5.89,7.13,7.55
2024-05-17,16.51,16.18,14.84,15.48,15.82,16.11,10.68,9.85,6.04,6.0,5.96,6.21,17.26,6.07,8.22,6.2,6.12,5.85,7.23,7.6
2024-05-18,16.51,16.18,14.84,15.48,15.82,16.11,10.68,9.85,6.04,6.0,5.96,6.21,17.26,6.07,8.22,6.2,6.12,5.85,7.23,7.6
2024-05-19,16.51,16.18,14.84,15.48,15.82,16.11,10.68,9.85,6.04,6.0,5.96,6.21,17.26,6.07,8.22,6.2,6.12,5.85,7.23,7.6
2024-05-20,16.45,15.66,15.3,15.22,15.72,16.11,10.32,10.55,6.06,6.01,6.4,6.56,17.46,6.06,8.22,6.32,6.43,5.85,6.99,7.55
2024-05-21,16.71,15.83,15.11,14.79,16.12,16.06,10.76,11.45,6.1,6.0,6.3,6.57,16.92,6.43,8.27,6.27,6.23,6.05,7.68,7.61
2024-05-22,16.6,16.03,15.45,15.23,15.19,17.3,10.69,10.69,6.12,6.01,6.0,6.23,17.24,5.38,8.18,6.3,6.35,6.0,7.39,7.74
2024-05-23,16.65,16.39,15.64,15.06,15.61,16.32,10.61,11.38,6.19,6.19,6.35,6.11,17.46,5.65,8.34,6.35,6.51,6.0,7.31,7.66
2024-05-24,17.35,16.43,15.98,15.95,15.51,16.77,10.49,11.73,6.13,6.02,6.44,6.25,17.54,6.04,8.25,6.34,6.46,5.92,7.39,7.61
2024-05-25,17.35,16.43,15.98,15.95,15.51,16.77,10.49,11.73,6.13,6.02,6.44,6.25,17.54,6.04,8.25,6.34,6.46,5.92,7.39,7.61
2024-05-26,17.35,16.43,15.98,15.95,15.51,16.77,10.49,11.73,6.13,6.02,6.44,6.25,17.54,6.04,8.25,6.34,6.46,5.92,7.39,7.61
2024-05-27,17.51,17.05,16.17,15.76,15.43,17.44,10.91,10.59,6.34,6.02,6.2,6.14,17.91,6.38,8.33,6.52,6.71,6.0,7.39,7.69
2024-05-28,17.63,15.7,16.17,15.48,16.8,17.39,9.23,10.64,6.27,6.03,6.16,6.35,17.71,6.47,8.29,6.46,6.03,6.09,7.42,7.69
2024-05-29,17.48,15.72,16.17,15.73,16.86,16.87,8.5,10.17,6.09,5.95,6.22,6.27,17.83,6.33,8.41,6.39,6.59,5.98,7.42,7.71
2024-05-30,17.03,16.5,15.42,15.91,16.41,16.21,9.03,8.96,6.23,6.21,6.2,6.65,18.23,5.49,8.33,6.53,6.31,6.12,7.85,7.63
2024-05-31,17.12,18.57,16.28,15.91,17.71,16.62,8.55,8.55,6.25,6.16,6.97,6.79,18.53,5.51,8.24,6.55,6.34,6.12,7.63,7.75
2024-06-01,17.12,18.57,16.28,15.91,17.71,16.62,8.55,8.55,6.25,6.16,6.97,6.79,18.53,5.51,8.24,6.55,6.34,6.12,7.63,7.75
2024-06-02,17.12,18.57,16.28,15.91,17.71,16.62,8.55,8.55,6.25,6.16,6.97,6.79,18.53,5.51,8.24,6.55,6.34,6.12,7.63,7.75
